TYPE  | YEAR | TITLE                                                          | FRANCHISE     | BY                     | TAG                      | LINK
film  | 1987 | The Princess Bride                                             | --            | --                     | --                       | --
film  | 1988 | Die Hard                                                       | --            | --                     | --                       | --
film  | 1988 | Hell Comes to Frogtown                                         | --            | --                     | --                       | --
film  | 1988 | Killer Klowns from Outer Space                                 | --            | --                     | --                       | --
film  | 1988 | Naked Gun                                                      | --            | --                     | --                       | --
film  | 1988 | On the Silver Globe                                            | --            | --                     | --                       | --
film  | 1988 | The Adventures of Baron Munchausen                             | --            | Terry Gillam           | --                       | --
film  | 1988 | They Live                                                      | --            | --                     | --                       | --
film  | 1988 | Who Framed Roger Rabbit                                        | --            | --                     | --                       | --
film  | 1989 | Back to the Future Part II                                     | --            | --                     | --                       | --
film  | 1989 | Batman                                                         | --            | --                     | --                       | --
film  | 1989 | Ghostbusters II                                                | --            | --                     | --                       | --
film  | 1989 | Honey, I Shrunk the Kids                                       | HIStK         | --                     | scifi comedy shrunk      | --
film  | 1989 | Indiana Jones and the Last Crusade                             | --            | --                     | --                       | --
film  | 1989 | Moontrap                                                       | --            | --                     | --                       | --
film  | 1989 | National Lampoon's Christmas Vacation                          | --            | --                     | --                       | --
film  | 1989 | Robot Jox                                                      | --            | --                     | --                       | --
film  | 1989 | Tetsuo: The Iron Man                                           | --            | --                     | --                       | --
film  | 1989 | The 'Burbs                                                     | --            | --                     | --                       | --
film  | 1989 | The Blood of Heroes                                            | --            | --                     | --                       | --
film  | 1989 | The Karate Kid Part III                                        | --            | --                     | --                       | --
film  | 1989 | Twin Peaks                                                     | --            | --                     | --                       | --
film  | 1990 | Edward Scissorhands                                            | --            | --                     | --                       | --
film  | 1990 | GoodFellas                                                     | --            | --                     | --                       | --
film  | 1990 | Home Alone                                                     | --            | --                     | --                       | --
film  | 1990 | Lionheart                                                      | --            | --                     | --                       | --
film  | 1990 | Nightbreed                                                     | --            | --                     | --                       | --
