DATE       | DESCRIPTION
2025-08-19 | Federal Agent Activity in Brooklyn (Sunset Park), NYC
2025-08-20 | Federal Agent Activity in Brooklyn (Sunset Park), NYC
2025-08-20 | ICE arrest outside Encinitas elementary school sparks public outcry - Times of San Diego
2025-08-21 | Federal Agent Activity in Brooklyn (Sunset Park), NYC
2025-08-21 | Portland school relocates after unrest at ICE facility creates safety concerns - kgw.com
2025-08-22 | Lawsuit accuses ICE of illegally arresting Latino immigrants in D.C. - Washington Post
2025-08-22 | US citizen says he was racially profiled as federal agents detained him outside his job - FOX 11 Los Angeles
2025-08-26 | Lawsuit accuses ICE of illegally arresting Latino immigrants in D.C. - Washington Post
2025-08-27 | Judge Orders ICE To 'Release' Injured Man Held In Hospital For 37 Days Without Charges - L.A. Taco
2025-08-27 | Lawmakers push for answers days after Border Patrol detains crew workers helping firefighters in Washington Blaze - CNN
2025-08-31 | A judge blocks the deportation of Guatemalan children already waiting on the tarmac to be sent back - AP News
2025-08-31 | Lawsuit accuses ICE of illegally arresting Latino immigrants in D.C. - Washington Post
2025-09-03 | Federal Agent Activity in Queens (Woodside), NYC
2025-09-04 | She Was Deported in Error. Her Child Was Left Behind - The New York Times
2025-09-04 | Some South Korean Workers Return to Georgia Factory After U.S. Reissues Visas - The New York Times
2025-09-07 | Lawsuit accuses ICE of illegally arresting Latino immigrants in D.C. - Washington Post
2025-09-08 | Lawsuit accuses ICE of illegally arresting Latino immigrants in D.C. - Washington Post
2025-09-09 | 79-year-old US citizen injured in Los Angeles immigration raid files $50 million claim - AP
2025-09-09 | Federal Agent Activity in Brooklyn (Sunset Park), NYC
2025-09-09 | Woman detained by federal agents during California immigration raid faints - KTLA 5
2025-09-10 | Federal Agent Activity in Queens (Corona), NYC
2025-09-10 | Lawsuit accuses ICE of illegally arresting Latino immigrants in D.C. - Washington Post
2025-09-11 | ICE arrest of a Portland parent near an elementary school sparks widespread fear - Maine Public
2025-09-11 | ICE in Oregon: Pointing rifles at family, stopping teens at gunpoint, pinning man during arrest - The Oregonian
2025-09-12 | California Armed ICE Encounter and Arrest of José Campoyo
2025-09-12 | Franklin Park IL Killing of Silverio Villegas González
2025-09-12 | Killing of Silverio Villegas González by ICE agents
2025-09-12 | Local Police Chief Tears Into ICE for Exposing His Offices to Tear Gas - Newsweek
2025-09-12 | Videos of fatal ICE shooting in Chicago raise questions about DHS account - The Washington Post
2025-09-13 | 7 workers taken from Long Beach carwash during weekend immigration raid, manager says - Long Beach Post News
2025-09-13 | Federal Agent Activity in Brooklyn (Bushwick), NYC
2025-09-14 | ICE arrests Afghan man with brain cancer in Methuen. Now, he’s hundreds of miles from his doctors WBUR News
2025-09-15 | Children left short of clean water and sleep amid 'prolonged' detention by ICE, watchdog groups allege - The Guardian
2025-09-15 | How a Former Trump Golf Club Worker Was Mistakenly Deported to Mexico - The New York Times
2025-09-16 | 2 apparent US citizens swept up by ICE in Elgin, Illinois; Melrose Park protest gets underway with Kristi Noem in Chicago area - ABC7 Chicago
2025-09-16 | Lawsuit accuses ICE of illegally arresting Latino immigrants in D.C. - Washington Post
2025-09-16 | U.S. citizen tased and detained during ICE operation in Des Plaines, Illinois - CBS News
2025-09-18 | ACLU sues ICE in S.F. to stop courthouse arrests, 'inhumane' detention - Mission Local
2025-09-18 | Bolingbrook IL Landscaper Detention
2025-09-18 | Lawsuit accuses ICE of illegally arresting Latino immigrants in D.C. - Washington Post
2025-09-18 | New York NY 26 Federal Plaza Anti-ICE Protest Arrests
2025-09-18 | New York NY Federal Plaza Arrest of Elected Officials
2025-09-18 | New York NY Street Clashes Outside Immigration Court
2025-09-19 | Evanston mayor among protesters hit with tear gas at ICE facility - Axios Chicago
2025-09-19 | Judge orders restrictions on federal tactics against ICE protesters after Chicago-area pastor shot with pepper balls - CNN
2025-09-22 | Federal Agent Activity in Queens (Corona), NYC
2025-09-22 | Lawsuit accuses ICE of illegally arresting Latino immigrants in D.C. - Washington Post
2025-09-24 | “There’s a baby!” ICE agents stop Alamosa family at gunpoint, smash car window - The Colorado Sun
2025-09-24 | Community outrage after ICE arrest in Maryland turns chaotic - CBS Baltimore
2025-09-24 | Lawsuit accuses ICE of illegally arresting Latino immigrants in D.C. - Washington Post
2025-09-25 | Federal Agent Activity in Brooklyn (Bushwick), NYC
2025-09-25 | New York NY Federal Plaza Assault by Federal Agent
2025-09-25 | U.S. Agent Pushes Woman to Floor in Immigration Courthouse Confrontation - The New York Times
2025-09-26 | California Green-Card Applicant Detained by ICE at Appointment - Newsweek
2025-09-26 | ICE fires baton rounds at protesters in Broadview
2025-09-26 | Journalist shot in head, face with pepper balls at Illinois immigration facility - U.S. Press Freedom Tracker
2025-09-27 | Photographer shot with pepper balls at Illinois ICE facility, camera damaged - U.S. Press Freedom Tracker
2025-09-28 | Hundreds protest at ICE building after Trump’s announcement of troop deployment to Portland - OPB
2025-09-28 | ICE detains parents of U.S. Marine in San Diego; father later deported - NBC 7
2025-09-28 | Mother and children detained in Millennium Park released from ICE custody, father flown to Texas detention center: 'We're praying for a miracle' - Chicago Tribune
2025-09-28 | Pepper ball fired at CBS Chicago reporter part of incidents involving media outside Broadview ICE facility - CBS Chicago
2025-09-28 | Video of agents pushing 70-year-old veteran sparks outrage – NBC Chicago
2025-09-30 | After Midnight Raid on Chicago Apartment Building, No One Was Charged With a Crime | ProPublica
2025-10-01 | Federal Agent Activity in Bronx (South BX), NYC
2025-10-02 | Federal officer blasts chemical spray into vocal but nonviolent Portland protester, video shows - oregonlive.com
2025-10-02 | ICE arrests US citizen in Oregon. Attorney decries 'illegal abduction' - The Oregonian
2025-10-03 | Chicago immigration: Ald. Fuentes says agents handcuffed her in Humboldt Park; Pritzker calls for South Shore raid investigation - ABC7 Chicago
2025-10-03 | How Trump's Chicago Immigration Crackdown Escalated, in 10 Videos - The New York Times
2025-10-03 | ICE and Border Patrol's use of tear gas injures, sickens and tests the law - The Washington Post
2025-10-03 | ICE in Oregon: Pointing rifles at family, stopping teens at gunpoint, pinning man during arrest - The Oregonian
2025-10-03 | Little Village IL Father and Son Detained by Federal Agents
2025-10-04 | Chicago IL Brighton Park Neighborhood Shooting by Federal Agent
2025-10-04 | Federal agents knock down elderly couple during Portland protest - oregonlive.com
2025-10-04 | How Trump's Chicago Immigration Crackdown Escalated, in 10 Videos - The New York Times
2025-10-04 | ICE and Border Patrol's use of tear gas injures, sickens and tests the law - The Washington Post
2025-10-05 | Documents Allege a Federal Agent at Portland ICE Threatened to Shoot an Ambulance Driver - Willamette Week
2025-10-05 | ICE Agents Rip Clothes Off Woman During Arrest, Video Shows - Newsweek
2025-10-06 | Federal Agent Activity in Bronx (Concourse), NYC
2025-10-06 | Waukegan mayor intervenes as U.S. citizen detained by Border Patrol agents near city hall - CBS News
2025-10-07 | ‘It’s like a nightmare.’ ICE now detains immigrants attending permanent resident appointments in Fresno - Fresnoland
2025-10-07 | A DACA recipient objected to ICE’s detention of a community member. He’s now facing deportation CNN
2025-10-07 | Chicago IL Tackle Assault By Agent
2025-10-07 | ICE agents clash with cemetery workers attempting to help man in river - WGN9 Chicago
2025-10-08 | ‘It’s like a nightmare.’ ICE now detains immigrants attending permanent resident appointments in Fresno - Fresnoland
2025-10-08 | Federal Agent Activity in Brooklyn (Sunset Park), NYC
2025-10-08 | Federal Agent Activity in Manhattan (Washington Heights), NYC
2025-10-10 | Chicago Producer's Arrest by Border Patrol Agents Raises Legal Questions - Newsweek
2025-10-10 | US Citizen Dragged From Car by Border Patrol in Chicago - Newsweek
2025-10-10 | Video: Arrest of Hoffman Estates teen by ICE sparks outrage - Chicago Tribune
2025-10-10 | Women arrested by ICE in front of Chicago elementary school, accused of stalking agents - CBS Chicago
2025-10-12 | New Jersey restaurant owner, father of 3 Ruperto Vicens Marquez detained by ICE despite work authorization - ABC7 Chicago
2025-10-14 | 15-Year-Old U.S. Citizen Taken By Feds For 5 Hours After East Side Protest, Attorney Says - Block Club Chicago
2025-10-14 | Blind man handcuffed, dragged by federal agents at ICE facility, he says - KGW8
2025-10-14 | Chase involving federal agents led to a crash and angry community response in Chicago - CNN
2025-10-14 | Federal Agent Activity in Brooklyn (Sunset Park), NYC
2025-10-14 | ICE Released Tear Gas Outside a Chicago Elementary School - The Intercept
2025-10-15 | "I Don't Feel Safe": Black Memphis Residents Report Harassment by Trump's Police Task Force - ProPublica
