DATE       | LINK_SLUG   |                                            | TOPIC               | DESCRIPTION
---------- | 7QuDoz0469s | http://youtube.com/watch?v=7QuDoz0469s | loadouts            | How to setup a “gunfighter” Belt / Battle Belt / Ferro Concepts Bison Belt
---------- | o1R8TlaYsF0 | http://youtube.com/watch?v=o1R8TlaYsF0 | --                  | Vortex Razor HD Gen III 1-10X
---------- | 8DlvZpM2DWY | http://youtube.com/watch?v=8DlvZpM2DWY | --                  | The Cheapest handgun VS a Glock (Hi Point C9 VS Glock 19)
---------- | gcLAdkDSlEQ | http://youtube.com/watch?v=gcLAdkDSlEQ | --                  | New Vortex UH-1 "Huey" Gen 2, Eotech killer?!
---------- | rOxjWxpi5bg | http://youtube.com/watch?v=rOxjWxpi5bg | --                  | LWRC SMG 45/Striker 45, serious issues
---------- | 84KBHdpKB1c | http://youtube.com/watch?v=84KBHdpKB1c | --                  | Navy SEAL and Army Special Forces Operator discuss Fighting Rifle Setup
---------- | ksf2IPfL3hg | http://youtube.com/watch?v=ksf2IPfL3hg | --                  | B&T APC 223 (Swiss rifle)
---------- | MdgUuYbbxo0 | http://youtube.com/watch?v=MdgUuYbbxo0 | --                  | Are red dots on pistols worth it? (With Modern Samurai Project)
---------- | K4s01BW2EhA | http://youtube.com/watch?v=K4s01BW2EhA | --                  | What did I accomplish this year (year in review)
---------- | h5lpXUASSs4 | http://youtube.com/watch?v=h5lpXUASSs4 | --                  | Primary Arms 2x Prism (the end of the world red dot)
---------- | IXoGzJZw4Z4 | http://youtube.com/watch?v=IXoGzJZw4Z4 | --                  | Seattle security guard who disarmed two rioters speaks out
---------- | cK21F7Wy7uc | http://youtube.com/watch?v=cK21F7Wy7uc | --                  | The Desert Eagle .50 AE
---------- | x1_zQKBQ4yw | http://youtube.com/watch?v=x1_zQKBQ4yw | --                  | LMT MARS-H 308 / 6.5 creedmoor (SR-25 has competition!)
---------- | jfooiGgZUUQ | http://youtube.com/watch?v=jfooiGgZUUQ | --                  | I tricked out a CZ Scorpion, updated review
---------- | qiRJbvTfXqM | http://youtube.com/watch?v=qiRJbvTfXqM | --                  | The FN FNC
---------- | sAlmlb8W_DE | http://youtube.com/watch?v=sAlmlb8W_DE | --                  | The Army's new Sniper Rifle (MK22 ASR) with Retired Special Forces Sniper Kevin Owens
---------- | P-y3cZn924w | http://youtube.com/watch?v=P-y3cZn924w | --                  | The Honey Badger
---------- | q6Awg_qy0Io | http://youtube.com/watch?v=q6Awg_qy0Io | --                  | The Marine Corps' New Service Pistol, SIG M18
