-------------------------------------------------------------------------------------------------------------------------------
TYPE  | YEAR | TITLE                                   | LINK
game  | 2004 | Wrath Unleashed                         | https://en.wikipedia.org/wiki/Wrath_Unleashed
game  | 2005 | Chibi-Robo!                             | https://en.wikipedia.org/wiki/Chibi-Robo!
game  | 2005 | Project Snowblind                       | https://en.wikipedia.org/wiki/Project_Snowblind
game  | 2005 | The Matrix: Path of Neo                 | https://en.wikipedia.org/wiki/The_Matrix:_Path_of_Neo
game  | 2005 | TimeSplitters: Future Perfect           | https://en.wikipedia.org/wiki/TimeSplitters:_Future_Perfect
game  | 2007 | Halo 3                                  | https://en.wikipedia.org/wiki/Halo_3
game  | 2007 | Penumbra: Overture                      | https://en.wikipedia.org/wiki/Penumbra:_Overture
game  | 2007 | Shadowrun                               | https://en.wikipedia.org/wiki/Shadowrun_(2007_video_game)
game  | 2008 | Haze                                    | https://en.wikipedia.org/wiki/Haze_(video_game)
game  | 2008 | Penumbra: Black Plague                  | https://en.wikipedia.org/wiki/Penumbra:_Black_Plague
game  | 2009 | Fuel                                    | https://en.wikipedia.org/wiki/Fuel_(video_game)
game  | 2009 | Penumbra: Requiem                       | https://en.wikipedia.org/wiki/Penumbra:_Requiem
game  | 2009 | Red Faction: Guerilla                   | https://en.wikipedia.org/wiki/Red_Faction:_Guerrilla
game  | 2009 | Shin Megami Tensei: Strange Journey     | https://en.wikipedia.org/wiki/Shin_Megami_Tensei:_Strange_Journey
game  | 2010 | Amnesia: The Dark Descent               | https://en.wikipedia.org/wiki/Amnesia:_The_Dark_Descent
game  | 2011 | Rage                                    | https://en.wikipedia.org/wiki/Rage_(video_game)
game  | 2011 | Red Faction: Armageddon                 | https://en.wikipedia.org/wiki/Red_Faction:_Armageddon
game  | 2011 | Red Faction: Battlegrounds              | https://en.wikipedia.org/wiki/Red_Faction:_Battlegrounds
game  | 2013 | Amnesia: A Machine for Pigs             | https://en.wikipedia.org/wiki/Amnesia:_A_Machine_for_Pigs
game  | 2014 | NaissanceE                              | https://en.wikipedia.org/wiki/NaissanceE
