 _ | film  | 1979 | The Warriors                                                   | --
 x | film  | 1966 | The Good, the Bad and the Ugly                                 | --
 x | film  | 1967 | Cool Hand Luke                                                 | ♥
 x | film  | 1967 | The Dirty Dozen                                                | --
 x | film  | 1967 | Viy                                                            | ♥ ★★★★★ damn got em
 x | film  | 1968 | 2001: A Space Odyssey                                          | ♥
 x | film  | 1968 | Chitty Chitty Bang Bang                                        | --
 x | film  | 1968 | Night of the Living Dead                                       | --
 x | film  | 1968 | Planet of the Apes                                             | --
 x | film  | 1969 | Butch Cassidy and the Sundance Kid                             | --
 x | film  | 1969 | The Color of Pomegranates                                      | ♥
 x | film  | 1969 | The Italian Job                                                | ★★ not very italian
 x | film  | 1970 | El Topo                                                        | ♥ ★★★★ Mythical with unavoidable clowns. Unkind to rabbits unfortunately.
 x | film  | 1971 | Shaft                                                          | --
 x | film  | 1971 | The Andromeda Strain                                           | --
 x | film  | 1971 | The Omega Man                                                  | --
 x | film  | 1971 | THX 1138                                                       | ♥
 x | film  | 1972 | Silent Running                                                 | ♥
 x | film  | 1972 | Sleuth                                                         | ♥
 x | film  | 1972 | Solaris                                                        | ♥
 x | film  | 1972 | Tales from the Crypt                                           | --
 x | film  | 1972 | The Godfather                                                  | --
 x | film  | 1972 | The Poseidon Adventure                                         | --
 x | film  | 1973 | Enter the Dragon                                               | --
 x | film  | 1973 | Ganja & Hess                                                   | --
 x | film  | 1973 | Serpico                                                        | --
 x | film  | 1973 | Soylent Green                                                  | --
 x | film  | 1973 | The Holy Mountain                                              | ♥
 x | film  | 1974 | Blazing Saddles                                                | --
 x | film  | 1974 | Dark Star                                                      | ♥
 x | film  | 1974 | Space Is the Place                                             | --
 x | film  | 1974 | The Godfather Part II                                          | --
 x | film  | 1974 | Young Frankenstein                                             | --
 x | film  | 1974 | Zardoz                                                         | ♥
 x | film  | 1975 | Dog Day Afternoon                                              | ♥ ★★★★★ this is a good movie but only watch it if you have air conditioning
 x | film  | 1975 | Mirror                                                         | --
 x | film  | 1975 | Monty Python and the Holy Grail                                | --
 x | film  | 1975 | One Flew Over the Cuckoo's Nest                                | --
 x | film  | 1976 | Assault on Precinct 13                                         | ♥ ★★★★ In any four-player situation, it'a important to let the enemy pass all the way through the window before you shoot them. If you shoot them outside the window, you won't be able to reach the ammo drops.
 x | film  | 1976 | Logan's Run                                                    | --
 x | film  | 1977 | Close Encounters of the Third Kind                             | --
 x | film  | 1977 | Eraserhead                                                     | --
